Date,Close,High,Low,Open
2018-07-09 00:00,7616.2,7620.1,7616.2,7620.1
2018-07-09 00:05,7615.2,7615.6,7614.6,7615.2
2018-07-09 00:10,7616.7,7617.7,7615.2,7615.5
2018-07-09 00:15,7617.6,7619.2,7615.6,7617
2018-07-09 00:20,7619.2,7619.2,7616.9,7618.6
2018-07-09 00:25,7618.8,7620.9,7618.2,7618.2
2018-07-09 00:30,7622.6,7623.3,7618.8,7619.1
2018-07-09 00:35,7618.6,7622.6,7618.6,7622.3
2018-07-09 00:40,7619.2,7619.8,7617.9,7618.9
2018-07-09 00:45,7619.6,7622.8,7619.2,7619.8
2018-07-09 00:50,7621.2,7622.2,7618.9,7620.2
2018-07-09 00:55,7626.8,7626.8,7621.6,7621.6
2018-07-09 01:00,7626.3,7632.4,7623.6,7628.8
2018-07-09 01:05,7631.3,7631.8,7624.1,7624.8
2018-07-09 01:10,7633.3,7633.6,7629.6,7631.6
2018-07-09 01:15,7634.8,7636.1,7632.3,7633.6
2018-07-09 01:20,7636.6,7636.6,7634.8,7635.3
2018-07-09 01:25,7637.8,7637.8,7636.8,7636.8
2018-07-09 01:30,7638.1,7639.6,7637.8,7638.1
2018-07-09 01:35,7638.3,7638.3,7637.8,7637.8
2018-07-09 01:40,7639.3,7639.6,7638.6,7638.6
2018-07-09 01:45,7641.3,7641.3,7639.6,7639.6
2018-07-09 01:50,7641.8,7642.8,7641.6,7641.8
2018-07-09 01:55,7641.3,7641.8,7641.1,7641.6
2018-07-09 02:00,7640.6,7641.8,7640.6,7641.1
2018-07-09 02:05,7641.6,7641.6,7640.8,7640.8
2018-07-09 02:10,7644.3,7645.1,7641.3,7641.3
2018-07-09 02:15,7648.3,7650.1,7644.3,7644.6
2018-07-09 02:20,7645.6,7648.6,7645.1,7648.6
2018-07-09 02:25,7642.8,7645.3,7642.1,7645.3
2018-07-09 02:30,7645.8,7646.6,7642.1,7643.3
2018-07-09 02:35,7646.6,7646.8,7645.1,7645.6
2018-07-09 02:40,7647.1,7648.6,7646.6,7646.8
2018-07-09 02:45,7651.6,7651.6,7647.3,7647.3
2018-07-09 02:50,7651.1,7652.3,7649.8,7651.8
2018-07-09 02:55,7652.3,7653.1,7651.1,7651.3
2018-07-09 03:00,7654.8,7655.1,7652.3,7652.6
2018-07-09 03:05,7656.3,7657.1,7655.1,7656.1
2018-07-09 03:10,7656.6,7657.3,7655.1,7656.8
2018-07-09 03:15,7652.6,7656.3,7651.8,7656.3
2018-07-09 03:20,7656.1,7656.3,7652.6,7653.3
2018-07-09 03:25,7656.8,7657.1,7656.3,7656.3
2018-07-09 03:30,7656.8,7657.3,7656.6,7657.1
2018-07-09 03:35,7656.3,7656.3,7656.3,7656.3
2018-07-09 03:40,7656.3,7656.3,7655.6,7655.6
2018-07-09 03:45,7656.6,7656.6,7656.6,7656.6
2018-07-09 03:50,7656.6,7656.8,7656.6,7656.8
2018-07-09 03:55,7656.6,7656.6,7656.3,7656.3
2018-07-09 04:00,7657.1,7657.3,7656.3,7656.3
2018-07-09 04:05,7657.1,7657.3,7657.1,7657.3
2018-07-09 04:10,7652.3,7653.1,7651.1,7651.3
2018-07-09 04:15,7656.3,7657.8,7656.3,7657.6
2018-07-09 04:20,7656.8,7657.1,7656.1,7656.6
2018-07-09 04:25,7656.8,7657.1,7656.3,7656.6
2018-07-09 04:30,7659.3,7660.1,7656.8,7657.1
2018-07-09 04:35,7659.1,7660.1,7659.1,7659.1
2018-07-09 04:40,7659.1,7659.3,7659.1,7659.3
2018-07-09 04:45,7657.8,7659.3,7656.3,7659.3
2018-07-09 04:55,7657.6,7657.6,7657.6,7657.6
2018-07-09 05:00,7659.6,7659.6,7657.8,7657.8
2018-07-09 05:05,7658.8,7660.1,7658.1,7659.8
2018-07-09 05:10,7658.6,7658.6,7658.1,7658.6
2018-07-09 05:15,7658.8,7659.3,7658.8,7659.3
2018-07-09 05:20,7658.6,7658.6,7658.3,7658.6
2018-07-09 05:25,7659.1,7659.3,7658.8,7658.8
2018-07-09 05:30,7658.1,7660.6,7658.1,7659.3
2018-07-09 05:35,7658.8,7658.8,7658.3,7658.6
2018-07-09 05:40,7658.8,7658.8,7658.3,7658.3
2018-07-09 05:45,7658.3,7659.1,7658.3,7658.6
2018-07-09 05:50,7658.3,7658.6,7658.3,7658.6
2018-07-09 05:55,7657.6,7659.1,7657.3,7659.1
2018-07-09 06:00,7654.8,7657.3,7654.8,7657.3
2018-07-09 06:05,7655.8,7656.3,7655.6,7655.6
2018-07-09 06:10,7658.3,7658.8,7656.1,7656.3
2018-07-09 06:15,7656.8,7658.3,7656.8,7657.3
2018-07-09 06:20,7656.6,7658.3,7656.6,7657.3
2018-07-09 06:25,7656.3,7657.8,7656.3,7656.8
2018-07-09 06:30,7657.1,7657.1,7656.6,7656.6
2018-07-09 06:35,7658.3,7658.3,7656.3,7656.3
2018-07-09 06:40,7656.8,7658.1,7656.6,7658.1
2018-07-09 06:45,7655.6,7657.3,7653.1,7656.6
2018-07-09 06:50,7654.8,7656.3,7654.6,7655.3
2018-07-09 06:55,7654.8,7655.8,7653.8,7655.1
2018-07-09 07:00,7650.8,7656.2,7648.6,7655.6
2018-07-09 07:05,7652.3,7652.8,7650.3,7651.1
2018-07-09 07:10,7651.1,7652.6,7650.1,7652.6
2018-07-09 07:15,7650.3,7652.1,7649.8,7651.3
2018-07-09 07:20,7647.1,7651.1,7646.8,7650.6
2018-07-09 07:25,7648.8,7650.1,7646.8,7647.6
2018-07-09 07:30,7644.6,7649.6,7644.6,7648.6
2018-07-09 07:35,7643.6,7644.8,7642.1,7644.8
2018-07-09 07:40,7641.1,7643.6,7640.1,7643.1
2018-07-09 07:45,7639.6,7641.6,7637.3,7641.3
2018-07-09 07:50,7641.8,7642.8,7639.6,7639.8
2018-07-09 07:55,7645.3,7645.6,7641.6,7641.6
2018-07-09 08:00,7645.3,7650.1,7641.6,7645.3
2018-07-09 08:05,7648.6,7651.1,7644.6,7645.1
2018-07-09 08:10,7650.6,7651.6,7647.1,7648.8
2018-07-09 08:15,7642.1,7652.1,7641.6,7650.8
2018-07-09 08:20,7645.1,7645.1,7639.1,7641.1
2018-07-09 08:25,7651.1,7653.1,7644.6,7644.8
2018-07-09 08:30,7660.1,7660.1,7651.3,7651.3
2018-07-09 08:35,7652.1,7661.1,7651.6,7659.8
2018-07-09 08:40,7648.6,7652.6,7648.1,7651.1
2018-07-09 08:45,7649.6,7650.3,7646.8,7649.1
2018-07-09 08:50,7647.6,7651.1,7646.8,7650.1
2018-07-09 08:55,7644.1,7649.1,7644.1,7647.3
2018-07-09 09:00,7635.6,7645.6,7635.1,7643.6
2018-07-09 09:05,7636.3,7637.1,7632.6,7635.8
2018-07-09 09:10,7635.6,7638.8,7634.1,7636.6
2018-07-09 09:15,7633.1,7636.1,7632.8,7635.1
2018-07-09 09:20,7626.6,7633.6,7623.6,7633.3
2018-07-09 09:25,7629.6,7630.1,7625.6,7626.8
2018-07-09 09:30,7631.3,7632.3,7628.6,7629.3
2018-07-09 09:35,7626.6,7631.6,7625.6,7631.6
2018-07-09 09:40,7628.1,7628.6,7624.6,7627.1
2018-07-09 09:45,7627.1,7628.8,7626.1,7628.3
2018-07-09 09:50,7652.1,7661.1,7651.6,7659.8
2018-07-09 09:55,7628.3,7629.6,7626.6,7628.6
2018-07-09 10:00,7634.1,7634.6,7627.3,7628.1
2018-07-09 10:05,7633.6,7634.8,7633.1,7634.8
2018-07-09 10:10,7633.8,7634.8,7632.1,7633.8
2018-07-09 10:15,7635.6,7636.1,7633.1,7633.6
2018-07-09 10:20,7637.1,7637.6,7634.6,7635.8
2018-07-09 10:25,7639.1,7640.1,7635.3,7636.8
2018-07-09 10:30,7640.3,7642.6,7638.6,7638.6
2018-07-09 10:35,7640.6,7642.3,7639.3,7640.1
2018-07-09 10:40,7640.1,7642.1,7638.1,7640.8
2018-07-09 10:45,7645.6,7645.6,7640.1,7640.6
2018-07-09 10:50,7649.1,7649.6,7645.1,7645.3
2018-07-09 10:55,7650.1,7651.3,7647.1,7649.3
2018-07-09 11:00,7647.1,7651.1,7647.1,7650.3
2018-07-09 11:05,7646.1,7648.1,7645.8,7647.6
2018-07-09 11:10,7648.1,7648.8,7645.1,7646.3
2018-07-09 11:15,7650.8,7651.1,7647.8,7648.6
2018-07-09 11:20,7648.6,7651.1,7648.1,7651.1
2018-07-09 11:25,7648.6,7649.1,7647.6,7648.3
2018-07-09 11:30,7648.1,7650.1,7647.6,7648.8
2018-07-09 11:35,7645.8,7648.1,7645.1,7647.8
2018-07-09 11:40,7647.1,7647.3,7644.1,7645.6
2018-07-09 11:45,7648.1,7649.6,7646.1,7646.8
2018-07-09 11:50,7646.1,7649.1,7645.6,7648.6
2018-07-09 11:55,7648.1,7648.6,7645.6,7645.8
2018-07-09 12:00,7645.6,7649.6,7645.6,7647.8
2018-07-09 12:05,7646.6,7648.1,7643.8,7645.8
2018-07-09 12:10,7644.1,7647.1,7643.8,7646.1
2018-07-09 12:15,7644.1,7646.1,7643.1,7644.6
2018-07-09 12:20,7641.1,7644.1,7640.6,7643.8
2018-07-09 12:25,7639.6,7641.1,7638.8,7640.8
2018-07-09 12:30,7636.3,7639.3,7635.8,7639.1
2018-07-09 12:35,7639.3,7639.8,7635.8,7636.6
2018-07-09 12:40,7641.1,7641.3,7639.1,7640.3
2018-07-09 12:45,7640.1,7640.8,7638.6,7640.8
2018-07-09 12:50,7638.6,7641.1,7638.1,7639.8
2018-07-09 12:55,7636.1,7639.6,7636.1,7638.8
2018-07-09 13:00,7635.8,7636.6,7632.6,7636.3
2018-07-09 13:05,7635.8,7636.6,7634.6,7636.1
2018-07-09 13:10,7638.3,7638.6,7636.1,7636.1
2018-07-09 13:15,7637.8,7639.6,7636.8,7638.1
2018-07-09 13:20,7641.8,7642.6,7637.8,7638.1
2018-07-09 13:25,7642.3,7643.6,7640.6,7641.6
2018-07-09 13:30,7639.6,7642.6,7639.6,7642.1
2018-07-09 13:35,7639.1,7642.1,7639.1,7639.8
2018-07-09 13:40,7641.1,7641.6,7639.1,7639.6
2018-07-09 13:45,7643.1,7643.6,7640.6,7641.3
2018-07-09 13:50,7642.6,7643.6,7641.6,7642.8
2018-07-09 13:55,7640.8,7644.1,7640.6,7642.8
2018-07-09 14:00,7642.3,7644.6,7641.1,7641.1
2018-07-09 14:05,7640.6,7643.6,7640.6,7642.6
2018-07-09 14:10,7637.6,7640.3,7637.6,7640.1
2018-07-09 14:15,7639.1,7639.6,7637.1,7637.3
2018-07-09 14:20,7639.1,7639.8,7637.1,7639.3
2018-07-09 14:25,7635.6,7639.6,7635.1,7638.8
2018-07-09 14:30,7635.1,7636.3,7633.1,7636.1
2018-07-09 14:35,7636.6,7637.1,7634.1,7635.3
2018-07-09 14:40,7642.6,7643.6,7634.6,7637.1
2018-07-09 14:45,7644.6,7646.6,7640.6,7642.8
2018-07-09 14:50,7637.8,7644.1,7637.6,7644.1
